Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.08798515;0.4647122693;0.5055627611;0.4647122693;0.4611683884;1.900530505;0.7142857143;0.7632637514;0.7142857143;0.6987257144
2;1.72170058;0.7546145494;0.7735238864;0.7546145494;0.7513421087;1.611108383;0.7619047619;0.7948561781;0.7619047619;0.7534040201
3;1.454870302;0.7850162866;0.7928278211;0.7850162866;0.78203364;1.402777648;0.7878787879;0.8113738797;0.7878787879;0.785734983
4;1.261559678;0.7947882736;0.8019672617;0.7947882736;0.7926218547;1.246299489;0.7878787879;0.8078005504;0.7878787879;0.7857726255
5;1.119127479;0.8110749186;0.8154999866;0.8110749186;0.8086765489;1.129509703;0.8138528139;0.8251659404;0.8138528139;0.8110048772
6;1.006584546;0.8132464712;0.8203187131;0.8132464712;0.8114189006;1.037379094;0.8051948052;0.8161606529;0.8051948052;0.8038793234
7;0.924927656;0.8251900109;0.8307912062;0.8251900109;0.8236606926;0.9672318975;0.8138528139;0.8273535292;0.8138528139;0.8124368547
8;0.8561338854;0.8317046688;0.8348356747;0.8317046688;0.8310412999;0.9085397442;0.8181818182;0.8307991033;0.8181818182;0.8172977369
9;0.7996184461;0.8338762215;0.8395959154;0.8338762215;0.833062713;0.8602960706;0.8181818182;0.8283322763;0.8181818182;0.8172184995
10;0.753513142;0.8501628664;0.8523290707;0.8501628664;0.8494156516;0.8203142524;0.8138528139;0.8245655127;0.8138528139;0.8131993874
11;0.715750184;0.8555917481;0.8584893558;0.8555917481;0.8555178883;0.7837189476;0.8225108225;0.8281789129;0.8225108225;0.8213998988
12;0.6827053695;0.8599348534;0.8618147175;0.8599348534;0.8593682533;0.7545755307;0.8311688312;0.8380938527;0.8311688312;0.8299866169
13;0.6516537194;0.8610206298;0.8632214764;0.8610206298;0.8607379381;0.7279591918;0.8311688312;0.8380938527;0.8311688312;0.8299866169
14;0.6253846026;0.8631921824;0.864773155;0.8631921824;0.8626849068;0.7036519686;0.8354978355;0.841469596;0.8354978355;0.8344770339
15;0.5994882902;0.8631921824;0.8651508966;0.8631921824;0.8629365744;0.6830191672;0.8354978355;0.841469596;0.8354978355;0.8344770339
16;0.581763054;0.8697068404;0.8708418675;0.8697068404;0.8691999484;0.6659804126;0.8398268398;0.8462160401;0.8398268398;0.8386558768
17;0.5614421075;0.8718783931;0.8733113327;0.8718783931;0.8711300657;0.6491977294;0.8441558442;0.8514904394;0.8441558442;0.8436528009
18;0.5440658233;0.8762214984;0.8766854192;0.8762214984;0.8758306498;0.6347591956;0.8484848485;0.8548219979;0.8484848485;0.8475255896
19;0.5303643184;0.8762214984;0.8773826213;0.8762214984;0.8756850979;0.6226681789;0.8484848485;0.8562863912;0.8484848485;0.8476378477
20;0.5118037267;0.8794788274;0.8803136291;0.8794788274;0.8790389911;0.6077316304;0.8528138528;0.8588308837;0.8528138528;0.8521357966
21;0.5006893755;0.8827361564;0.8839693645;0.8827361564;0.8823755425;0.5953457355;0.8571428571;0.863095814;0.8571428571;0.8562012677
22;0.4863886396;0.8870792617;0.8878706676;0.8870792617;0.8865086776;0.5864128987;0.8614718615;0.8668706106;0.8614718615;0.8606311022
23;0.4759349068;0.884907709;0.8861723162;0.884907709;0.8846407526;0.575776881;0.8614718615;0.8674397384;0.8614718615;0.8606929451
