Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.286469475;0.1563517915;0.1686556135;0.1563517915;0.09976197967;2.245111763;0.3246753247;0.2957351496;0.3246753247;0.2537297343
2;2.168506273;0.3735070575;0.553627396;0.3735070575;0.3457429332;2.066368461;0.4935064935;0.6093258773;0.4935064935;0.454880852
3;1.871613057;0.5114006515;0.6380227691;0.5114006515;0.4692834091;1.653300345;0.6277056277;0.6917753963;0.6277056277;0.6170249618
4;1.351072375;0.7100977199;0.7101759689;0.7100977199;0.6990812141;1.138486296;0.683982684;0.7470201758;0.683982684;0.6764855907
5;0.902830112;0.7459283388;0.7471701717;0.7459283388;0.7423297633;0.9009881914;0.7056277056;0.7697267325;0.7056277056;0.694033651
6;0.7114785512;0.779587405;0.7783922211;0.779587405;0.777244094;0.7442644686;0.7619047619;0.7905373117;0.7619047619;0.7656138838
7;0.6009462575;0.8197611292;0.8215514056;0.8197611292;0.8180452694;0.6293902546;0.7965367965;0.8199329762;0.7965367965;0.7989247227
8;0.4968461772;0.8610206298;0.8611870681;0.8610206298;0.8608127429;0.5745459348;0.8138528139;0.8226718465;0.8138528139;0.8113416702
9;0.4716647446;0.8599348534;0.8591113045;0.8599348534;0.8591948017;0.5681898221;0.8268398268;0.8385468778;0.8268398268;0.8239267269
10;0.4491083801;0.8718783931;0.8716243849;0.8718783931;0.8713064739;0.5231008604;0.8441558442;0.8544590859;0.8441558442;0.8424508931
11;0.3661066254;0.8957654723;0.8957776735;0.8957654723;0.8952669275;0.4816879258;0.8528138528;0.8656188912;0.8528138528;0.8531661522
12;0.3359069914;0.9153094463;0.9160709215;0.9153094463;0.9153697122;0.4569985271;0.8614718615;0.8738029758;0.8614718615;0.8619520316
13;0.3175751706;0.9131378936;0.9140359892;0.9131378936;0.9132823913;0.4757850766;0.8398268398;0.850247204;0.8398268398;0.8387462342
14;0.3107533594;0.9033659066;0.9030084577;0.9033659066;0.9026774138;0.4727615342;0.8658008658;0.8760752787;0.8658008658;0.8655187035
15;0.2936384579;0.904451683;0.9050132155;0.904451683;0.9044277761;0.4359229207;0.8701298701;0.8868675589;0.8701298701;0.8717860484
16;0.2802664906;0.9185667752;0.9195120808;0.9185667752;0.9188094201;0.3974662498;0.8701298701;0.8786302971;0.8701298701;0.8703719811
17;0.2556173603;0.9185667752;0.9184306425;0.9185667752;0.9181966499;0.3775610998;0.8831168831;0.8883629668;0.8831168831;0.8823581181
18;0.2332429806;0.9272529859;0.9284996989;0.9272529859;0.9275374694;0.3914426267;0.8874458874;0.893462164;0.8874458874;0.8867956021
19;0.2090774551;0.9370249729;0.9372001608;0.9370249729;0.9369607071;0.3693691194;0.8874458874;0.8981897135;0.8874458874;0.8881856373
20;0.2049537733;0.9413680782;0.9417403113;0.9413680782;0.9412329873;0.3797966316;0.8787878788;0.8911668787;0.8787878788;0.8799331422
21;0.1893959547;0.9457111835;0.9459241282;0.9457111835;0.945654006;0.3487369232;0.9004329004;0.9075359345;0.9004329004;0.9004780672
22;0.1785257697;0.9511400651;0.951151518;0.9511400651;0.9510959358;0.3387177549;0.9004329004;0.9051298197;0.9004329004;0.8996442797
23;0.1666165069;0.9576547231;0.9578275158;0.9576547231;0.9575814582;0.3542971872;0.8917748918;0.9009475566;0.8917748918;0.8916043908
24;0.1507351612;0.9565689468;0.9568074105;0.9565689468;0.9565606894;0.3541520163;0.9004329004;0.907144551;0.9004329004;0.9008800814
25;0.1457255612;0.9609120521;0.9610396353;0.9609120521;0.9609085194;0.3707882836;0.8917748918;0.9021391091;0.8917748918;0.8915447418
26;0.1497318437;0.9565689468;0.9566566017;0.9565689468;0.9565555451;0.3079519887;0.9090909091;0.9123719362;0.9090909091;0.9091574583
27;0.1315537279;0.9609120521;0.9611594059;0.9609120521;0.9609479979;0.3449717127;0.9090909091;0.9196284812;0.9090909091;0.9093119601
28;0.1135017842;0.9739413681;0.9741055059;0.9739413681;0.9739266498;0.320081003;0.9177489177;0.9221840938;0.9177489177;0.9174511632
29;0.1132378057;0.9717698154;0.9717506473;0.9717698154;0.9717029637;0.3020431213;0.9177489177;0.9220147537;0.9177489177;0.9179609704
30;0.1090659675;0.9750271444;0.9751781733;0.9750271444;0.9750068735;0.3209275082;0.9090909091;0.9151343678;0.9090909091;0.9095148541
31;0.09937092016;0.9761129207;0.9761421258;0.9761129207;0.9760631994;0.3129018918;0.9134199134;0.9185291188;0.9134199134;0.9132752117
32;0.09007666285;0.9782844734;0.9783291122;0.9782844734;0.9782661272;0.3257997558;0.9134199134;0.9209064745;0.9134199134;0.9134493714
33;0.1007070897;0.9717698154;0.9720272203;0.9717698154;0.971733624;0.2992569599;0.9134199134;0.9169449023;0.9134199134;0.9137677439
34;0.09916095113;0.9761129207;0.9763038494;0.9761129207;0.9759732693;0.334379524;0.9220779221;0.9267635123;0.9220779221;0.9219587099
35;0.09321654364;0.9717698154;0.9719247202;0.9717698154;0.9717178164;0.3455498479;0.9177489177;0.9233736041;0.9177489177;0.9178599356
36;0.09207666119;0.9728555917;0.972797268;0.9728555917;0.9727575506;0.315733023;0.9090909091;0.9180563707;0.9090909091;0.9100244334
37;0.07303918501;0.9804560261;0.980510756;0.9804560261;0.9804310928;0.3106311169;0.9307359307;0.9341747142;0.9307359307;0.93040338
38;0.06632935939;0.9804560261;0.9804282794;0.9804560261;0.9804016597;0.3171592802;0.9220779221;0.9268843999;0.9220779221;0.9217643794
