Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.294136111;0.1346362649;0.1923844392;0.1346362649;0.06665892025;2.26549834;0.2121212121;0.3362512715;0.2121212121;0.1530121773
2;2.222971773;0.3072747014;0.475838456;0.3072747014;0.281360061;2.144999444;0.4199134199;0.5713486006;0.4199134199;0.3719528918
3;2.010984262;0.5700325733;0.6876692873;0.5700325733;0.5156693065;1.821063697;0.5367965368;0.6141973165;0.5367965368;0.4962277704
4;1.558710313;0.6319218241;0.6696953708;0.6319218241;0.6074734214;1.309742808;0.632034632;0.723489603;0.632034632;0.5977131396
5;1.091848719;0.6862106406;0.6772942814;0.6862106406;0.6766031229;0.9755122364;0.6883116883;0.7322152975;0.6883116883;0.682451171
6;0.8174704512;0.7426710098;0.7428471124;0.7426710098;0.7387463855;0.8248218745;0.7272727273;0.7749128847;0.7272727273;0.7138798679
7;0.6951304396;0.8045602606;0.8067766865;0.8045602606;0.8029318184;0.7213317156;0.7878787879;0.8296591121;0.7878787879;0.7863041922
8;0.601435405;0.8273615635;0.8282749993;0.8273615635;0.8266466343;0.6564233899;0.8268398268;0.8397954226;0.8268398268;0.8212010863
9;0.5488904297;0.8425624321;0.8434044225;0.8425624321;0.8407983026;0.5828096345;0.8528138528;0.8592336427;0.8528138528;0.8513298149
10;0.4793495675;0.8697068404;0.8703443487;0.8697068404;0.8690413219;0.5633404776;0.8528138528;0.8721451982;0.8528138528;0.8521384075
11;0.4317152599;0.8773072747;0.878942568;0.8773072747;0.8773764963;0.5083607957;0.8571428571;0.8626544435;0.8571428571;0.8555866858
12;0.4153556069;0.8838219327;0.8850914997;0.8838219327;0.883637811;0.4917013049;0.8658008658;0.8782026821;0.8658008658;0.8651668647
13;0.3739420484;0.894679696;0.8977206843;0.894679696;0.8950837976;0.4401548989;0.8787878788;0.8803400983;0.8787878788;0.8781350592
14;0.3497831633;0.901194354;0.9027103598;0.901194354;0.9010867329;0.4477435276;0.8614718615;0.8696462981;0.8614718615;0.861998178
15;0.3350356847;0.901194354;0.9011437;0.901194354;0.9009909957;0.4114805087;0.8744588745;0.8796351404;0.8744588745;0.8743538675
16;0.3113824487;0.9001085776;0.9016171038;0.9001085776;0.9001212853;0.4106610939;0.8614718615;0.8695885289;0.8614718615;0.8598947452
17;0.3127097165;0.9022801303;0.903583919;0.9022801303;0.9024612483;0.4059420004;0.8658008658;0.8758652942;0.8658008658;0.8650780444
18;0.27201083;0.9174809989;0.9177638218;0.9174809989;0.9173211557;0.3978998661;0.8658008658;0.8807465913;0.8658008658;0.8663799001
19;0.2654567589;0.9261672096;0.9268664293;0.9261672096;0.9262721021;0.355169896;0.9047619048;0.9104588533;0.9047619048;0.9033061351
