pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
28;0;0;0;0;0;0;0;1;0
0;28;0;0;0;0;0;0;1;0
0;0;27;0;0;0;0;0;1;1
0;0;1;26;0;1;0;1;0;0
0;0;0;0;27;0;0;0;0;1
1;0;0;1;0;25;1;0;0;0
0;0;0;0;1;1;27;0;0;0
0;1;0;0;0;0;0;26;2;0
0;0;0;2;2;0;1;0;23;1
0;0;1;1;2;0;0;0;0;25
