method_name,image_name,pcc_clean,psnr_clean,noise_model,circuit_depth,circuit_size,cnot_count,n_qubits,n_shots,pcc_noised_0.01,psnr_noised_0.01,pcc_noised_0.1,psnr_noised_0.1,pcc_noised_0.2,psnr_noised_0.2,pcc_noised_0.5,psnr_noised_0.5,pcc_noised_0.9,psnr_noised_0.9,pcc_noised_1.0,psnr_noised_1.0
frqci,image_000_2x2_,0.5119103261513812,28.50080012399769,depolarizing_1q,3,5,20,3,1024,0.41364271747443654,27.95351593907479,0.5148172550282066,28.58435912962225,-0.13297301026562586,28.255630564925397,0.34799973158233377,27.29398613593609,0.12990006110577365,25.661306502047406,0.15808779154171623,28.407232164002075
frqci,image_001_2x2_,0.026663566521606705,28.811142461397377,depolarizing_1q,3,5,20,3,1024,0.4685763272712414,28.81537741523762,-0.07054137223886445,29.005925995355867,0.5477139168093162,29.280019767186864,0.19782687714154978,27.252398111252788,0.3615126094307233,27.464438924237076,0.2796417619421334,28.760642534030964
frqci,image_002_2x2_,0.4575176769467949,30.7403571330158,depolarizing_1q,3,5,20,3,1024,0.4298701508451175,28.840874229091085,0.1356488441990246,27.0558773941579,0.26490099124368605,29.41410148026989,-0.48163840127416796,26.698052702362887,0.36014324200003356,28.148937016313784,0.36887814044190326,28.084008060489623
frqci,image_003_2x2_,0.4284643186257677,29.214499960430174,depolarizing_1q,3,5,20,3,1024,0.4534255330427968,28.802684922562783,0.6131542938861668,30.172003435238352,0.14037355957888675,28.92696118689553,-0.17818370375014608,27.707017627280344,0.2544549470021694,29.94634515625094,-0.5305882491624663,28.781612853959146
frqci,image_004_2x2_,0.10331076608546697,32.020655268870215,depolarizing_1q,3,5,20,3,1024,0.29420041614259823,28.883704406786247,-0.2691211521374173,29.242458929218934,0.4236749340977323,30.71403617475835,0.3127556550476826,26.73726101699007,0.15264978329115084,28.81961650275723,0.11819942152872023,29.679823208536536
frqci,image_005_2x2_,0.39029093134131265,29.113496691386914,depolarizing_1q,3,5,20,3,1024,0.41273276067779524,29.95184603706115,0.2961526405308507,27.963951534369926,0.6014089125254194,27.04458968197116,0.19277482555697478,27.32093313957023,0.23706896602402416,28.68186619608109,-0.12672202424454798,27.943105359213853
frqci,image_006_2x2_,0.5491689632168218,30.49028828817526,depolarizing_1q,3,5,20,3,1024,0.145970083273534,28.975046623279074,0.20153046056027124,28.259356815534975,0.1763917441799246,28.138047888622427,-0.08318648565598516,29.979455442310968,0.06874846800742089,30.61672938230391,-0.30734888355007783,27.52067928336904
frqci,image_007_2x2_,0.14747809434142822,29.3417575839445,depolarizing_1q,3,5,20,3,1024,0.8240060155929293,29.984998448575915,0.268115718704397,26.467489391013853,0.5512714890100953,29.800395503831197,-0.12074296677867341,29.159116279122617,-0.2805061037918109,27.04740886079072,-0.20560605325938613,29.019227521279337
frqci,image_008_4x4_,0.4516810518764739,28.41109084468154,depolarizing_1q,3,7,454,5,1024,0.266356549025752,28.35547277399141,0.17299501638781825,27.4924680666144,0.47988471915054454,28.04125518214984,0.029397153659482908,28.47819848211886,-0.01953228394311074,27.330705239348347,-0.1436295045103353,27.798241895936915
frqci,image_009_4x4_,0.13512391909749916,28.844071881574997,depolarizing_1q,3,7,454,5,1024,0.21867865521281377,28.250977243126915,0.11639779424991462,28.1407676120089,0.18480027567909724,28.17353783948739,0.13634704367364295,27.31718048676694,0.1435758161690811,28.277100298244676,-0.010662810114673987,28.148028545477082
