method_name,image_name,pcc_clean,psnr_clean,noise_model,circuit_depth,circuit_size,cnot_count,n_qubits,n_shots,pcc_noised_0.01,psnr_noised_0.01,pcc_noised_0.1,psnr_noised_0.1,pcc_noised_0.2,psnr_noised_0.2,pcc_noised_0.5,psnr_noised_0.5,pcc_noised_0.9,psnr_noised_0.9,pcc_noised_1.0,psnr_noised_1.0
frqi,image_000_2x2_,0.9990348872828634,32.50787496411436,depolarizing_1q,3,5,20,3,1024,0.9986851401638277,30.5911449500275,0.9969291693336956,28.263086266016657,0.998459639607099,27.179110094361555,0.9860326422533353,29.25181872771038,0.9117292491383312,24.960622598197986,0.9148640673658022,28.57633150290215
frqi,image_001_2x2_,0.9997619555527559,40.00167004225055,depolarizing_1q,3,5,20,3,1024,0.9979709930884659,32.62852007812816,0.9979437842363104,27.092766399119537,0.9947118889582933,34.283686179296275,0.9719337066700182,27.697180828467808,0.7259867839260505,29.019227521279337,0.2805592765756041,30.00167004225055
frqi,image_002_2x2_,0.9992945229171457,36.298105171851056,depolarizing_1q,3,5,20,3,1024,0.9987236065425161,30.385633951393608,0.9976171909297258,28.57633150290215,0.9968362470992236,26.99972994347415,0.9948704665402434,30.786806183473434,0.9628343399446739,28.00243136162738,0.8595817414200805,30.94994066084819
frqi,image_003_2x2_,0.9996602375445045,36.99137008561073,depolarizing_1q,3,5,20,3,1024,0.997199218796019,30.5341251617828,0.9938254762204176,29.664340322907925,0.9970105953876304,27.0164980910193,0.9935977739231733,26.941546080421336,0.9689891978831944,27.61927838420529,0.873708909169683,28.71072307845597
frqi,image_004_2x2_,0.9994980998025628,36.08960378211985,depolarizing_1q,3,5,20,3,1024,0.9976590758586303,27.67757382081253,0.9990753699724827,28.055459429706527,0.9995548026668554,28.966264123179855,0.99831753976689,27.908582563602042,0.9555423078259551,26.94981048789916,-0.46525931799705844,26.442883405537287
frqi,image_005_2x2_,0.9996165080814499,37.24944272167359,depolarizing_1q,3,5,20,3,1024,0.9979902700621752,30.172003435238352,0.9983588780180672,25.60227329888017,0.9981911797152496,27.61927838420529,0.989117525880647,28.422687499953927,0.904777813128579,26.983026288963483,0.8139370359448952,30.867607487571348
frqi,image_006_2x2_,0.9992019309703511,33.77713854255249,depolarizing_1q,3,5,20,3,1024,0.9991787839223792,29.527423542969164,0.9989184942007265,28.218542851754155,0.9946603644193783,26.008927564639524,0.9944893073919993,27.04177233200597,0.7778525461295753,30.242052450924938,-0.37429484772633714,27.050229870840564
frqi,image_007_2x2_,0.9999250964783455,44.15140352195873,depolarizing_1q,3,5,20,3,1024,0.9989253473974246,31.622873212159796,0.9995577230249263,29.648912438765116,0.994261883581839,28.6736564680805,0.9839599743301076,30.477844311698536,0.624840089857851,27.276113909812384,0.3852559306261871,34.806419009523054
frqi,image_008_4x4_,0.9927500531301662,29.372958758571144,depolarizing_1q,3,7,455,5,1024,0.9943976811459465,29.84581582673115,0.9873388220038972,32.08314476164023,0.979966174081188,28.682893504144786,0.9698831685203961,29.110094462604195,0.470724928721466,29.777862243476978,0.4146044076186828,26.243275981217558
frqi,image_009_4x4_,0.9953662504208605,30.36742451247735,depolarizing_1q,3,7,455,5,1024,0.9880377368845452,29.817706053392868,0.9874194919393472,28.47232169526943,0.9731930754296132,27.573676444603517,0.9575331573868822,29.140810899781215,0.5915706280651066,29.297738864875495,0.21995555053612037,27.624106561266252
