[[24  0  0  1  1  0  1  0  1  1]
 [ 0 18  4  0  1  3  0  2  1  0]
 [ 0  0 28  0  0  0  0  0  1  0]
 [ 0  0  5  9  0 10  0  0  4  1]
 [ 0  0  2  0 18  2  3  0  1  2]
 [ 1  0  1  0  1 22  0  0  3  0]
 [ 0  0  2  0  0  2 25  0  0  0]
 [ 0  0  0  1  0  1  0 25  0  2]
 [ 1  0  0  0  0  1  0  0 25  2]
 [ 0  0  1  1  3  0  0  0  1 23]]
