Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.727440625;0.5537459283;0.5526604874;0.5537459283;0.5527834;0.8374508719;0.70995671;0.7335984199;0.70995671;0.6923171767
2;0.8461059437;0.7513572204;0.7517186527;0.7513572204;0.75106625;0.701863572;0.8008658009;0.836089931;0.8008658009;0.8065781731
3;0.6273381517;0.8002171553;0.8002891173;0.8002171553;0.8001498646;0.8176725626;0.7662337662;0.8091570596;0.7662337662;0.7594963154
4;0.551849041;0.8251900109;0.8249540221;0.8251900109;0.8249884606;0.7277163724;0.7792207792;0.814054959;0.7792207792;0.7792456297
5;0.7610972552;0.7774158523;0.778271071;0.7774158523;0.7774044701;1.103385679;0.7402597403;0.77099476;0.7402597403;0.7382300938
6;0.6434481876;0.8045602606;0.8046679103;0.8045602606;0.8045026131;0.7357341468;0.8138528139;0.8181554284;0.8138528139;0.8115063732
7;0.5259706008;0.8393051031;0.8385425209;0.8393051031;0.8387622373;1.138400612;0.7532467532;0.8106760613;0.7532467532;0.7469445471
