[[27  0  0  0  0  1  0  0  1  0]
 [ 0 24  1  1  0  0  0  0  3  0]
 [ 1  0 27  0  0  0  0  0  1  0]
 [ 1  0  0 26  0  0  0  1  1  0]
 [ 4  0  0  1 14  0  1  3  1  4]
 [ 1  0  0  6  0 16  1  1  3  0]
 [ 2  0  0  0  0  2 24  0  0  1]
 [ 0  0  0  3  0  0  0 23  0  3]
 [ 2  0  0  3  1  0  0  0 23  0]
 [ 0  0  0  2  3  0  0  2  1 21]]
