[[28  0  0  0  0  0  0  0  1  0]
 [ 0 28  0  0  0  0  1  0  0  0]
 [ 5  0 20  1  2  0  1  0  0  0]
 [ 4  0  0 21  0  3  0  0  1  0]
 [ 1  0  0  0 25  0  1  0  1  0]
 [ 1  1  1  1  1 20  1  0  2  0]
 [ 0  1  0  0  2  1 25  0  0  0]
 [ 2  1  0  0  4  0  1 16  2  3]
 [ 1  1  0  2  3  1  0  1 20  0]
 [ 0  1  0  0 14  0  0  0  2 12]]
