Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.783312219;0.5276872964;0.5259636974;0.5276872964;0.5259700016;0.7671979368;0.7359307359;0.8016103891;0.7359307359;0.7458991692
2;0.7100268086;0.7741585233;0.7745052655;0.7741585233;0.7740032925;0.7923807919;0.7619047619;0.8013219335;0.7619047619;0.7575333892
3;0.5656513184;0.8121606949;0.81182139;0.8121606949;0.8117262903;0.6796187555;0.8008658009;0.8261166532;0.8008658009;0.8013871138
4;0.5082742227;0.8349619978;0.8343496185;0.8349619978;0.834426924;0.8531333407;0.7792207792;0.8212366029;0.7792207792;0.7718442748
5;0.5330309915;0.8338762215;0.8333126103;0.8338762215;0.8332279076;0.9718876779;0.7619047619;0.8213149792;0.7619047619;0.7645955467
6;0.4546127808;0.8436482085;0.8443488805;0.8436482085;0.8438880399;1.010663118;0.7445887446;0.8141334396;0.7445887446;0.7457581752
7;0.4290659258;0.8794788274;0.8800237611;0.8794788274;0.8795900322;0.8540442834;0.8008658009;0.8220347588;0.8008658009;0.7970440734
8;0.4753881559;0.8664495114;0.8659965456;0.8664495114;0.8660351986;0.8765665067;0.7965367965;0.8051039701;0.7965367965;0.7925534219
