Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.304043945;0.1042345277;0.04193136853;0.1042345277;0.04832857055;2.286007881;0.1904761905;0.1979008116;0.1904761905;0.123532611
2;2.241442935;0.1824104235;0.2503725593;0.1824104235;0.1477226568;2.189705849;0.2294372294;0.1478570933;0.2294372294;0.1719845772
3;2.0948042;0.2421281216;0.2011919368;0.2421281216;0.1725298421;2.077004969;0.2380952381;0.2964383904;0.2380952381;0.2192742513
4;1.993056552;0.2529858849;0.2458763317;0.2529858849;0.2169943261;2.072956741;0.2337662338;0.277667131;0.2337662338;0.1809965016
5;1.961491195;0.3018458198;0.2938211735;0.3018458198;0.2842936167;2.046144396;0.2597402597;0.191365593;0.2597402597;0.2075755594
6;1.869059396;0.328990228;0.3202877531;0.328990228;0.3126195845;1.97542426;0.2987012987;0.3491834522;0.2987012987;0.2893756683
7;1.814547952;0.3550488599;0.3575517068;0.3550488599;0.3327733986;1.980104953;0.316017316;0.4197993507;0.316017316;0.2747091427
8;1.778057496;0.3615635179;0.3589536311;0.3615635179;0.3532957542;1.956720203;0.316017316;0.3622897716;0.316017316;0.2940923586
9;1.743568881;0.3691639522;0.3635074294;0.3691639522;0.3557574009;1.904464036;0.367965368;0.4452249985;0.367965368;0.3454336217
10;1.662865297;0.4049945711;0.3946318121;0.4049945711;0.3898066304;1.855135202;0.3766233766;0.4017588027;0.3766233766;0.3693029344
11;1.586660727;0.4592833876;0.4537483489;0.4592833876;0.4485451141;1.911673963;0.3463203463;0.3974203737;0.3463203463;0.3371886969
12;1.568023006;0.4321389794;0.4296171209;0.4321389794;0.4234798194;1.842221558;0.3722943723;0.4460323353;0.3722943723;0.3669498779
13;1.526090177;0.4766558089;0.4784381871;0.4766558089;0.4698267471;1.866473049;0.3636363636;0.353528729;0.3636363636;0.35074708
14;1.503639984;0.4907709012;0.4919979202;0.4907709012;0.4867365527;1.820068181;0.3982683983;0.4031201151;0.3982683983;0.3916124353
15;1.441555055;0.4951140065;0.4964523605;0.4951140065;0.4935419459;1.884569854;0.3722943723;0.4366974296;0.3722943723;0.3606634897
16;1.454649282;0.5038002172;0.5007014693;0.5038002172;0.4962483586;1.823973238;0.4285714286;0.4605799293;0.4285714286;0.4198943246
17;1.362250908;0.5407166124;0.5453341607;0.5407166124;0.5364687716;1.837670058;0.3722943723;0.4374739941;0.3722943723;0.3734687289
18;1.341476965;0.5190010858;0.5186321539;0.5190010858;0.5166865463;1.837513745;0.3463203463;0.3955743406;0.3463203463;0.3525918388
19;1.316294058;0.5472312704;0.5490216687;0.5472312704;0.5417036755;1.915808767;0.3506493506;0.3999752747;0.3506493506;0.3399186598
