Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.303346841;0.108577633;0.04185801873;0.108577633;0.04976593557;2.286386371;0.1991341991;0.06721110228;0.1991341991;0.09732829155
2;2.2423961;0.1661237785;0.2336863708;0.1661237785;0.09805605449;2.207557499;0.2121212121;0.1653445761;0.2121212121;0.1472478994
3;2.105397622;0.223669924;0.2320329541;0.223669924;0.1605877156;2.120541155;0.1861471861;0.2550017219;0.1861471861;0.1471274417
4;2.014766502;0.2442996743;0.22960453;0.2442996743;0.2095998597;2.133217067;0.2380952381;0.3325829934;0.2380952381;0.1771550227
5;1.965407395;0.2855591748;0.2984827575;0.2855591748;0.2678084088;2.07676971;0.2510822511;0.2663457624;0.2510822511;0.2196605717
6;1.889587768;0.3159609121;0.3274331413;0.3159609121;0.2972906459;2.052109897;0.2987012987;0.3280337375;0.2987012987;0.2749330606
7;1.83103226;0.332247557;0.3335315077;0.332247557;0.3120230921;2.029077232;0.29004329;0.3329094464;0.29004329;0.2620865606
8;1.763588738;0.3691639522;0.3829926966;0.3691639522;0.3631842639;2.013233066;0.2943722944;0.2809389993;0.2943722944;0.2681814196
9;1.740797273;0.3789359392;0.3819779982;0.3789359392;0.3689191484;1.97974357;0.3203463203;0.4164199737;0.3203463203;0.2910179317
10;1.680007474;0.4158523344;0.4180460918;0.4158523344;0.4033620812;1.950933099;0.3246753247;0.2923032509;0.3246753247;0.3008739006
11;1.64814438;0.4147665581;0.4089758574;0.4147665581;0.4066144378;1.873754889;0.316017316;0.3207857492;0.316017316;0.2874138859
12;1.61653231;0.437567861;0.4567458111;0.437567861;0.4302089612;1.898332864;0.3593073593;0.4100058205;0.3593073593;0.3350406745
13;1.548764507;0.450597177;0.4543748773;0.450597177;0.4477841484;1.859947056;0.3376623377;0.4170353847;0.3376623377;0.3169233381
14;1.524105438;0.4560260586;0.4517268164;0.4560260586;0.4492861767;1.816154331;0.3636363636;0.3856140064;0.3636363636;0.3661219984
15;1.475579055;0.4820846906;0.4821121541;0.4820846906;0.4803869908;1.860039085;0.3593073593;0.4193910347;0.3593073593;0.3457624024
16;1.462778346;0.4712269273;0.4602079728;0.4712269273;0.4574796972;1.836149901;0.3333333333;0.3383885372;0.3333333333;0.327200818
17;1.402198609;0.5309446254;0.5317828479;0.5309446254;0.5277206667;1.828325838;0.3506493506;0.3779002007;0.3506493506;0.3446054195
18;1.371195006;0.5320304017;0.5319117389;0.5320304017;0.5293153922;1.83100158;0.3593073593;0.3952298958;0.3593073593;0.3511400687
19;1.364625621;0.5266015201;0.5292389495;0.5266015201;0.5241924278;1.836605161;0.367965368;0.370320819;0.367965368;0.3571589336
