[[19  4  2  2  0  1  0  0  1  0]
 [ 0 26  0  0  0  0  1  0  2  0]
 [ 0  1 17  5  1  1  1  2  1  0]
 [ 2  2  0 20  0  0  4  1  0  0]
 [ 0  2  0  0 21  0  1  1  1  2]
 [ 3  5  1  5  2  4  4  2  2  0]
 [ 2  3  1  6  1  1 14  0  1  0]
 [ 0  2  0  1  1  0  0 24  1  0]
 [ 3  5  0  5  0  5  3  2  6  0]
 [ 1  5  1  2  4  0  0  9  2  5]]
