[[12  1  0  6  4  0  5  1  0  0]
 [ 0 18  0  2  3  0  5  1  0  0]
 [ 2  5  0  7  8  0  7  0  0  0]
 [ 1  5  0 10  7  1  4  1  0  0]
 [ 1  6  0  3  7  0 10  1  0  0]
 [ 1  2  0 10  8  0  6  1  0  0]
 [ 1  0  0  0  6  0 22  0  0  0]
 [ 0  4  0  4  5  0  5 11  0  0]
 [ 0  4  0  4  9  0 10  2  0  0]
 [ 2  2  0  6  6  0  8  5  0  0]]
