Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;20.49801361;0.105320304;0.1049435907;0.105320304;0.1050814887;16.00768245;0.1428571429;0.115127469;0.1428571429;0.1189530996
2;11.41421413;0.2953311618;0.2954912828;0.2953311618;0.295264568;22.55029157;0.1125541126;0.09046426363;0.1125541126;0.0734838717
3;9.671160665;0.4060803474;0.4064507721;0.4060803474;0.4060947204;21.72753741;0.1385281385;0.1476968198;0.1385281385;0.1184967162
4;9.609425578;0.447339848;0.4480225603;0.447339848;0.4474518844;27.53162727;0.1645021645;0.1708665473;0.1645021645;0.1472598142
5;9.077617534;0.5081433225;0.5088476392;0.5081433225;0.5081937735;28.1116759;0.1515151515;0.1402138806;0.1515151515;0.1278714715
6;9.132643278;0.5439739414;0.5443401309;0.5439739414;0.5439269607;29.9733415;0.1168831169;0.1134083716;0.1168831169;0.1059543636
