[[23  0  0  0  0  0  1  0  5  0]
 [ 0 29  0  0  0  0  0  0  0  0]
 [ 0  0 19  0  1  0  4  0  5  0]
 [ 0  0  1  5  0  4  2  0 16  1]
 [ 0  0  3  0 17  1  0  1  2  4]
 [ 2  1  0  2  3  8  4  0  8  0]
 [ 0  1  0  0  2  1 24  0  1  0]
 [ 0  0  0  0  0  0  0 27  0  2]
 [ 2  1  0  1  0  0  0  0 25  0]
 [ 0  0  0  0  5  0  0  2  4 18]]
