Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.280504084;0.1324647123;0.1813256959;0.1324647123;0.06321862002;2.238709211;0.1731601732;0.203976625;0.1731601732;0.1065298318
2;2.16161596;0.427795874;0.5563843888;0.427795874;0.3990154521;2.052135468;0.5454545455;0.7573718953;0.5454545455;0.5274944599
3;1.84271884;0.6384364821;0.7069584221;0.6384364821;0.6108563667;1.643021554;0.6060606061;0.6345616219;0.6060606061;0.5840671204
4;1.34229718;0.6872964169;0.7219463726;0.6872964169;0.6679449515;1.176637977;0.6147186147;0.6191538188;0.6147186147;0.593513332
5;0.9451259653;0.7426710098;0.7439265749;0.7426710098;0.7390672293;0.9837629646;0.6493506494;0.6957926119;0.6493506494;0.6228299252
6;0.7661246936;0.7839305103;0.782350257;0.7839305103;0.7813103265;0.8633695245;0.670995671;0.6933356526;0.670995671;0.6585858633
7;0.6765011013;0.7937024973;0.7946133048;0.7937024973;0.791512374;0.7362937629;0.7489177489;0.7599356585;0.7489177489;0.7508341759
8;0.5994311472;0.8197611292;0.8207056044;0.8197611292;0.8185642437;0.7471863329;0.7186147186;0.7862728319;0.7186147186;0.7122532103
9;0.5397667686;0.8317046688;0.8315051796;0.8317046688;0.8309437707;0.6448200196;0.7532467532;0.7903780921;0.7532467532;0.7544773795
10;0.5054622591;0.8566775244;0.8571758264;0.8566775244;0.8559967026;0.5942282528;0.7922077922;0.8036300948;0.7922077922;0.7928795575
