Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.286672608;0.1357220413;0.02722646206;0.1357220413;0.0451573582;2.24672395;0.1255411255;0.0496124031;0.1255411255;0.05041289243
2;2.197601859;0.2258414767;0.3606907393;0.2258414767;0.1582844591;2.102757275;0.2294372294;0.7383293826;0.2294372294;0.1628451986
3;1.955404345;0.460369164;0.6101783192;0.460369164;0.4707753412;1.752627254;0.6233766234;0.6797547728;0.6233766234;0.5888567034
4;1.530169821;0.6026058632;0.5776602938;0.6026058632;0.5664922773;1.308527291;0.658008658;0.7179653643;0.658008658;0.6213686483
5;1.077742231;0.6829533116;0.6786293666;0.6829533116;0.6688956056;1.007463381;0.6666666667;0.7468080411;0.6666666667;0.6530359544
6;0.8383611441;0.7242128122;0.7250360846;0.7242128122;0.722705993;0.8030485958;0.7532467532;0.7904987459;0.7532467532;0.7473369086
7;0.7355575681;0.7622149837;0.7585122426;0.7622149837;0.7590967934;0.6632796526;0.7922077922;0.8267005189;0.7922077922;0.7923355346
8;0.6417957664;0.789359392;0.7856379909;0.789359392;0.7858872749;0.6097116172;0.8095238095;0.8363222954;0.8095238095;0.80528666
9;0.5224349697;0.8512486428;0.8513089077;0.8512486428;0.8507333811;0.5229957774;0.8571428571;0.8623390933;0.8571428571;0.855506464
10;0.4704748929;0.8534201954;0.8532961234;0.8534201954;0.8529926856;0.4995848835;0.8354978355;0.858348462;0.8354978355;0.836230187
