[[27  0  0  0  1  0  0  0  1  0]
 [ 0 24  1  0  0  0  0  0  2  2]
 [ 2  0 26  1  0  0  0  0  0  0]
 [ 1  0  2 25  0  0  0  0  1  0]
 [ 0  0  0  0 24  0  0  1  0  3]
 [ 3  0  0  5  1 14  0  1  3  1]
 [ 0  0  1  0  1  1 26  0  0  0]
 [ 0  0  0  2  0  0  0 25  1  1]
 [ 0  0  0  1  0  0  0  0 27  1]
 [ 0  0  1  1  1  0  0  0  1 25]]
