Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.119664778;0.3626492942;0.4059170946;0.3626492942;0.318518615;1.926629074;0.5454545455;0.5951116668;0.5454545455;0.5137899584
2;1.750082376;0.6970684039;0.7418822353;0.6970684039;0.6920617068;1.638694859;0.7489177489;0.7800093068;0.7489177489;0.7437070877
3;1.481620918;0.8002171553;0.810322227;0.8002171553;0.7973762949;1.425935547;0.7662337662;0.7901440097;0.7662337662;0.7641929127
4;1.285618777;0.8121606949;0.8184132269;0.8121606949;0.8089246201;1.266384753;0.8051948052;0.8192718735;0.8051948052;0.8046070254
5;1.135043554;0.8219326819;0.8261275041;0.8219326819;0.8200133509;1.145900536;0.7922077922;0.811509977;0.7922077922;0.7914738193
6;1.024374721;0.8349619978;0.8400440326;0.8349619978;0.8332315038;1.051158603;0.8095238095;0.8203275779;0.8095238095;0.8086782543
7;0.9323589822;0.8349619978;0.838395274;0.8349619978;0.8336480451;0.9774843812;0.8138528139;0.8231215874;0.8138528139;0.8126066368
8;0.8635000011;0.8382193268;0.8418825552;0.8382193268;0.8372451409;0.9154562036;0.8095238095;0.8217173894;0.8095238095;0.8075753858
9;0.8074535337;0.8458197611;0.8482365166;0.8458197611;0.8446861721;0.866000994;0.8051948052;0.8161663463;0.8051948052;0.8035776089
10;0.7584606789;0.8479913138;0.8505466223;0.8479913138;0.8475076404;0.8250547131;0.8181818182;0.8298716052;0.8181818182;0.8164705873
