Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.098732108;0.4060803474;0.4879398208;0.4060803474;0.3605471326;1.901422811;0.5930735931;0.7072857003;0.5930735931;0.5776332048
2;1.734065247;0.7383279045;0.7740730383;0.7383279045;0.7306011585;1.605812295;0.7489177489;0.8049234027;0.7489177489;0.7483679168
3;1.471307547;0.7915309446;0.8189612656;0.7915309446;0.7878048988;1.391037464;0.7792207792;0.8153486218;0.7792207792;0.7776140089
4;1.274831094;0.8295331162;0.8396968291;0.8295331162;0.8282403978;1.230359745;0.7835497835;0.8167629272;0.7835497835;0.7830285715
5;1.128706978;0.8403908795;0.8533777357;0.8403908795;0.838692305;1.109645855;0.7922077922;0.8204478294;0.7922077922;0.7935236653
6;1.014593199;0.8501628664;0.8594333236;0.8501628664;0.8488872767;1.01903191;0.7922077922;0.8142695632;0.7922077922;0.7924529681
7;0.9256093656;0.8545059718;0.8603266345;0.8545059718;0.8539666273;0.9464584311;0.7922077922;0.8119729364;0.7922077922;0.7933863305
8;0.8542493304;0.8577633008;0.8633761093;0.8577633008;0.8572760965;0.8893809954;0.8051948052;0.8250852368;0.8051948052;0.8046040626
9;0.7960875394;0.8642779587;0.8685024651;0.8642779587;0.8636743021;0.8416013559;0.8051948052;0.8278799376;0.8051948052;0.8057760795
10;0.745611717;0.8621064061;0.8675648773;0.8621064061;0.861364361;0.8020408114;0.8095238095;0.8291084577;0.8095238095;0.8096766519
