pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
14;1;3;3;0;1;2;3;0;2
0;17;4;1;1;0;2;0;0;4
3;1;20;3;1;0;1;0;0;0
4;1;1;16;1;2;0;1;1;2
0;2;3;1;10;1;2;2;3;4
1;3;2;5;1;9;4;1;1;1
4;3;0;4;3;2;12;0;0;1
0;1;0;2;3;1;0;17;0;5
1;2;2;5;4;4;7;0;4;0
1;3;1;3;5;1;1;4;3;7
