[[17  0  1  3  0  3  0  3  2  0]
 [ 0 20  1  1  1  0  1  4  0  1]
 [ 0  1 24  1  2  0  0  1  0  0]
 [ 4  2  3 10  2  3  1  3  1  0]
 [ 0  1  1  1 12  3  1  8  0  1]
 [ 0  1  1  6  2 13  3  1  0  1]
 [ 1  0  3  6  4  2 11  0  2  0]
 [ 1  2  0  1  0  2  0 20  1  2]
 [ 1  2  2  5  8  2  3  2  2  2]
 [ 0  1  0  3  8  1  0 10  1  5]]
