[[10  0 10  0  7  1  0  0  1  0]
 [ 0 16  3  0  9  1  0  0  0  0]
 [ 1  1 14  0 11  0  0  0  1  1]
 [ 2  1 13  1  9  0  0  0  2  1]
 [ 1  0  8  0 14  2  0  0  3  0]
 [ 3  3 13  0  8  0  0  0  1  0]
 [ 0  0  8  0 18  1  0  0  1  1]
 [ 0  4  6  1 10  1  0  0  0  7]
 [ 1  2 10  0 11  0  0  0  5  0]
 [ 0  4 10  1 10  2  0  0  1  1]]
