[[27  0  0  0  0  0  1  0  1  0]
 [ 0 26  1  0  1  0  0  0  1  0]
 [ 0  0 29  0  0  0  0  0  0  0]
 [ 0  0  0 25  0  0  0  0  4  0]
 [ 0  0  0  0 25  0  0  0  1  2]
 [ 1  0  0  0  0 26  0  0  1  0]
 [ 0  0  0  0  0  0 29  0  0  0]
 [ 0  0  0  0  0  0  0 27  2  0]
 [ 0  0  0  0  0  0  0  0 28  1]
 [ 0  0  0  0  0  0  0  1  1 27]]
