pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
24;0;1;1;0;1;1;0;0;1
0;26;1;0;0;1;0;0;0;1
0;0;21;5;0;2;0;0;1;0
0;0;4;18;0;3;0;2;0;2
0;0;0;0;17;5;1;2;0;3
3;0;1;4;0;17;0;0;2;1
1;0;6;0;1;3;16;2;0;0
0;0;0;0;0;0;0;25;0;4
0;1;1;1;1;7;0;3;13;2
0;0;0;2;1;1;0;3;1;21
