[[22  0  0  0  1  1  0  0  2  3]
 [ 0 26  0  0  0  0  0  0  0  3]
 [ 0  0 21  1  0  0  3  0  3  1]
 [ 0  0  2 21  0  1  0  0  2  3]
 [ 0  0  0  0 18  1  0  1  0  8]
 [ 1  0  0  2  0 21  1  0  0  3]
 [ 0  0  0  0  1  2 26  0  0  0]
 [ 0  0  0  0  0  0  0 16  1 12]
 [ 0  1  0  1  0  2  0  0 23  2]
 [ 0  0  0  0  1  1  0  0  0 27]]
