Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.746328638;0.5548317047;0.556764174;0.5548317047;0.5552433425;1.173508859;0.6277056277;0.7638690879;0.6277056277;0.6433059015
2;0.5780312771;0.8241042345;0.8240896782;0.8241042345;0.8237976232;1.187966514;0.6536796537;0.7729425573;0.6536796537;0.6550219028
3;0.5124031651;0.8458197611;0.8456814725;0.8458197611;0.8455618374;0.7550830801;0.7445887446;0.7754935958;0.7445887446;0.740053498
4;0.4617545609;0.8686210641;0.8686749224;0.8686210641;0.8684678194;0.7852282445;0.8008658009;0.8168222385;0.8008658009;0.801876855
5;0.4369703375;0.8610206298;0.8606154082;0.8610206298;0.860534954;1.043920964;0.7316017316;0.8146841671;0.7316017316;0.7436105817
6;0.4566618647;0.8501628664;0.8506132938;0.8501628664;0.850320797;1.24085936;0.6796536797;0.7670242384;0.6796536797;0.6829803862
7;0.4101993832;0.8740499457;0.8740639877;0.8740499457;0.8739941884;1.111786038;0.7445887446;0.7916107934;0.7445887446;0.7363413356
8;0.3815509824;0.891422367;0.8915519186;0.891422367;0.8914606548;0.8815172205;0.7705627706;0.8113508952;0.7705627706;0.7785585265
