Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.850531374;0.5385450597;0.5435794402;0.5385450597;0.5399908934;0.7160078973;0.7792207792;0.8210095147;0.7792207792;0.7770907873
2;0.6034845056;0.8121606949;0.8129091333;0.8121606949;0.8119683298;0.8677106678;0.7186147186;0.8017106218;0.7186147186;0.7233085628
3;0.6591966173;0.7947882736;0.7943282112;0.7947882736;0.7944087921;1.012515898;0.7229437229;0.8011694513;0.7229437229;0.7133405358
4;0.5768721957;0.8360477742;0.8362802196;0.8360477742;0.8359675074;0.8280868078;0.7965367965;0.8300963436;0.7965367965;0.7959000946
5;0.6716744065;0.8143322476;0.816550425;0.8143322476;0.8150103356;0.8064103136;0.8095238095;0.836033119;0.8095238095;0.8117545869
6;0.4537556788;0.875135722;0.8755071342;0.875135722;0.8750913891;0.7815550476;0.8095238095;0.8340939934;0.8095238095;0.809910976
