[[25  0  0  0  0  1  0  0  2  1]
 [ 0 23  2  1  1  0  0  0  2  0]
 [ 1  0 22  2  0  0  0  0  4  0]
 [ 0  0  0 25  0  0  0  1  3  0]
 [ 0  0  0  0 23  0  1  1  2  1]
 [ 2  0  0  5  1 15  0  0  5  0]
 [ 1  0  1  0  1  1 22  0  3  0]
 [ 0  0  1  2  2  0  0 23  1  0]
 [ 0  0  0  3  0  0  0  1 24  1]
 [ 0  0  0  0  1  1  0  4  5 18]]
