[[15  0  3  4  0  0  7  0  0  0]
 [ 1 25  0  1  1  0  1  0  0  0]
 [ 1  0 20  0  3  0  5  0  0  0]
 [ 0  7  0 14  6  0  2  0  0  0]
 [ 0  0  9  1  9  0  9  0  0  0]
 [ 0  0  0  0  0 20  0  6  0  2]
 [ 2  1  5  0  1  0 20  0  0  0]
 [ 0  0  0  0  0  1  0 26  0  2]
 [ 0  0  1  0  0  0  0  0 28  0]
 [ 0  0  0  0  0  0  1  0  0 28]]
