pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
25;0;0;0;1;0;3;0;0;0
0;17;9;0;0;0;0;1;2;0
2;0;25;0;0;1;1;0;0;0
1;0;11;11;0;1;0;0;4;1
4;0;0;0;15;1;2;2;2;2
2;0;2;0;1;14;1;1;3;4
2;0;0;0;0;0;25;0;1;1
2;0;0;0;0;2;0;19;3;3
0;0;3;0;1;1;1;1;19;3
0;0;0;1;1;1;1;0;4;21
