pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
1;0;4;3;0;7;1;0;13;0
1;1;9;1;0;8;0;0;8;1
0;0;4;7;0;7;0;2;9;0
2;0;5;2;0;7;0;1;12;0
0;0;6;1;0;13;0;0;8;0
1;0;0;6;0;8;1;2;10;0
0;0;6;7;0;6;0;4;6;0
0;0;2;4;0;14;0;1;8;0
0;0;7;3;1;7;1;0;10;0
0;1;6;4;1;12;0;0;5;0
