pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
26;0;0;0;0;0;1;0;0;2
0;25;2;0;0;1;1;0;0;0
3;0;23;0;1;1;0;0;1;0
0;0;1;23;0;3;0;1;0;1
1;0;1;0;19;2;1;0;0;4
2;0;3;1;0;21;1;0;0;0
4;0;0;0;0;1;24;0;0;0
1;0;0;1;3;1;1;15;0;7
1;0;1;1;1;0;0;1;22;2
1;0;0;1;3;1;0;2;2;19
