[[26  0  1  0  0  1  0  0  1  0]
 [ 0 27  1  0  0  1  0  0  0  0]
 [ 1  1 24  0  2  0  0  0  1  0]
 [ 0  0  0 20  0  3  0  5  1  0]
 [ 0  0  2  0 20  2  1  3  0  0]
 [ 2  0  1  3  0 20  0  1  1  0]
 [ 1  0  2  0  0  2 22  0  2  0]
 [ 1  0  1  1  0  1  0 24  1  0]
 [ 1  0  0  1  0  1  0  2 23  1]
 [ 1  0  0  0  1  0  0 13  2 12]]
