[[26  0  1  1  0  0  1  0  0  0]
 [ 0 24  1  0  0  0  2  0  2  0]
 [ 0  0 26  2  0  0  1  0  0  0]
 [ 0  0  2 24  0  1  1  0  1  0]
 [ 5  0  1  0 14  0  4  2  0  2]
 [ 2  0  0  5  0 20  1  0  0  0]
 [ 0  0  2  0  0  2 25  0  0  0]
 [ 1  0  1  0  0  0  0 27  0  0]
 [ 3  0  0  0  0  1  0  0 24  1]
 [ 2  0  3  2  3  2  1  4  1 11]]
