Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;1.758707408;0.5439739414;0.5425229473;0.5439739414;0.5428772982;0.6948635499;0.7835497835;0.8103653471;0.7835497835;0.7811187027
2;0.6190087429;0.8078175896;0.8106608329;0.8078175896;0.8088760053;1.013318799;0.7186147186;0.79872999;0.7186147186;0.7137085378
3;0.5065456679;0.8382193268;0.8374597618;0.8382193268;0.837300369;0.7498920908;0.7705627706;0.8018092306;0.7705627706;0.7695760859
4;0.6007971619;0.8338762215;0.8352072022;0.8338762215;0.834318967;1.300691897;0.7012987013;0.8254772012;0.7012987013;0.6641915287
5;0.5354567089;0.8382193268;0.8386374478;0.8382193268;0.8381986209;0.9384475261;0.7792207792;0.8080093647;0.7792207792;0.7805793367
6;0.5509644115;0.8273615635;0.8277025367;0.8273615635;0.8273976212;1.016926792;0.7662337662;0.79329936;0.7662337662;0.7524488223
