pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9
28;0;0;0;0;0;1;0;0;0
0;29;0;0;0;0;0;0;0;0
4;0;19;2;2;1;0;0;1;0
1;0;0;22;0;3;0;0;3;0
0;0;0;0;25;0;1;1;1;0
1;1;0;3;0;14;1;0;7;1
1;1;0;0;1;1;24;0;1;0
1;3;0;0;4;1;0;19;0;1
0;0;0;1;5;1;0;0;22;0
0;1;0;0;13;0;0;1;2;12
