[[20  0  1  0  1  6  0  1  0  0]
 [ 0 14  0  0  7  7  0  0  1  0]
 [ 0  0 20  3  3  2  0  1  0  0]
 [ 0  0  0 13  2 10  0  4  0  0]
 [ 0  0  0  0 22  3  0  1  0  2]
 [ 2  2  0  2  3 15  0  3  1  0]
 [ 2  0  7  2 11  5  2  0  0  0]
 [ 1  0  0  2 11  2  0 13  0  0]
 [ 0  1  2  4  1 20  0  0  1  0]
 [ 0  0  0  0 17  4  0  4  0  4]]
