Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;14.80311909;0.2975027144;0.2999849335;0.2975027144;0.2985937852;10.5397954;0.3852813853;0.4376875631;0.3852813853;0.3535188184
2;9.841045162;0.4668838219;0.4672925197;0.4668838219;0.4669742897;12.43537356;0.4372294372;0.53137898;0.4372294372;0.4201359865
3;10.70452361;0.5070575461;0.5086570166;0.5070575461;0.5075395448;11.15009435;0.4891774892;0.5216307384;0.4891774892;0.4926199161
4;10.73802296;0.5266015201;0.5259010155;0.5266015201;0.5259973169;16.15799503;0.4588744589;0.5514141462;0.4588744589;0.4467526578
5;10.6286002;0.562432139;0.5630504724;0.562432139;0.5622778858;14.18452654;0.4891774892;0.5337460528;0.4891774892;0.4889239526
6;11.59486407;0.5646036916;0.5643591974;0.5646036916;0.5642832263;18.66305165;0.4458874459;0.5083514714;0.4458874459;0.4200320645
