Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.109419449;0.3811074919;0.5381987614;0.3811074919;0.3696680868;1.897452617;0.5930735931;0.7257255482;0.5930735931;0.5749811486
2;1.741576476;0.7263843648;0.7668704649;0.7263843648;0.7219056471;1.595627379;0.7489177489;0.7968899122;0.7489177489;0.7422246605
3;1.473840249;0.7969598263;0.8166109775;0.7969598263;0.793940068;1.378882519;0.7662337662;0.796950751;0.7662337662;0.7638036137
4;1.274952434;0.8175895765;0.8307038796;0.8175895765;0.8168854787;1.220059474;0.7965367965;0.8143537059;0.7965367965;0.7970136212
5;1.128633871;0.8382193268;0.8459399805;0.8382193268;0.8372764714;1.100933568;0.8008658009;0.8163786631;0.8008658009;0.8004647232
6;1.013625112;0.8382193268;0.8477277735;0.8382193268;0.8380959472;1.008527346;0.8008658009;0.8169232814;0.8008658009;0.8009330444
7;0.9207588414;0.8447339848;0.852886449;0.8447339848;0.8441315842;0.9380566518;0.8051948052;0.8192026949;0.8051948052;0.8048386351
8;0.8496049884;0.8545059718;0.8587226096;0.8545059718;0.8540744472;0.8794359128;0.8095238095;0.8252363817;0.8095238095;0.8089939123
9;0.7916515418;0.8631921824;0.869187805;0.8631921824;0.8627799477;0.8314139088;0.8181818182;0.8315933362;0.8181818182;0.8176953032
10;0.7387900697;0.8697068404;0.8732912433;0.8697068404;0.8693481414;0.7923478921;0.8181818182;0.8340247893;0.8181818182;0.8180715988
