Epoch;TrLoss;TrAcc;TrPrec;TrRec;TrF1;VaLoss;VaAcc;VaPrec;VaRec;VaF1
1;2.13392708;0.3778501629;0.4364804775;0.3778501629;0.3714105905;1.933389076;0.6060606061;0.678604318;0.6060606061;0.6034924376
2;1.768338345;0.7122692725;0.7353612496;0.7122692725;0.7111982305;1.63905681;0.7056277056;0.7136116434;0.7056277056;0.6978730323
3;1.505816791;0.766558089;0.7791623762;0.766558089;0.7618197706;1.42367781;0.7489177489;0.7533403193;0.7489177489;0.7430637383
4;1.311619492;0.7937024973;0.7967045773;0.7937024973;0.791489925;1.260179861;0.7619047619;0.7696578276;0.7619047619;0.7595966261
5;1.167325627;0.7980456026;0.7989414555;0.7980456026;0.7961824398;1.137798421;0.7575757576;0.7634850423;0.7575757576;0.7543191386
6;1.054862915;0.8089033659;0.8126009233;0.8089033659;0.8065545882;1.041773697;0.7662337662;0.7693412569;0.7662337662;0.7632513618
7;0.9661864967;0.8219326819;0.8231630482;0.8219326819;0.8211968422;0.9672531565;0.7792207792;0.7819283602;0.7792207792;0.7766294632
8;0.9003235143;0.8327904452;0.8363829037;0.8327904452;0.8329167115;0.907308201;0.7878787879;0.7925980786;0.7878787879;0.7860303051
9;0.8418042084;0.8327904452;0.8337241332;0.8327904452;0.8319363791;0.8571843187;0.7878787879;0.794764788;0.7878787879;0.7852355685
10;0.799135053;0.8425624321;0.8444806268;0.8425624321;0.84210689;0.8174017747;0.8051948052;0.8176375877;0.8051948052;0.8025152498
