[[24  0  0  3  0  0  0  0  2  0]
 [ 0 27  0  1  0  0  0  0  1  0]
 [ 1  0 24  2  0  0  0  0  1  1]
 [ 0  0  3 24  0  0  0  0  1  1]
 [ 0  1  2  0 19  1  0  0  2  3]
 [ 1  0  2 12  0 12  0  1  0  0]
 [ 3  0  3  0  0  0 23  0  0  0]
 [ 0  0  0  1  2  1  0 23  2  0]
 [ 0  0  0  4  4  1  0  0 19  1]
 [ 0  0  0  2  5  0  0  2  2 18]]
